Client name,Service Offerings,Service Lines,[Year-Month],[Service Offering ID],Country,Collection Days,Revenue,Gross Profit,Direct Profit,Total Cost,Total Cost GP,Total Cost DP,External Blue,External Green,External Red,External Yellow,External Pink,External Orange,External Black,Internal Blue,Internal green,Internal Red,Internal Yellow,Internal Orange,Internal White,Internal Brown,Internal Blue,Internal Pink,Internal Pink
ARBAU GmbH,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-34.9986,-34.9986,34.9986,34.9986,0,,,,,,,,,,,,,,34.9986,,,
ARBAU GmbH,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-1.1822,-1.1822,1.1822,1.1822,0,,,,,,,,,,,,,,1.1822,,,
ARBAU GmbH,Scruncho,Venus,2023-Dec,SO00065,USA,30,,0,0,0,0,0,,,,,,,,,,,,,,,,,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,2528.89,2466.2504,1440.7425,1088.1475,62.6396,1025.5079,988.8874,,0,,,,,,,,36.6205,,,62.6396,,,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-23.664,-23.664,23.664,23.664,0,,,,,,,,,,,,,,23.664,,,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,0,0,0,0,0,,,,,,,,,,,,,,,,,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-2.9154,-2.9154,2.9154,2.9154,0,,,,,,,,,,,,,,2.9154,,,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-11.4382,-11.4382,11.4382,11.4382,0,,,,,,,,,,,,,,11.4382,,,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-4.6938,-9.3697,9.3697,4.6938,4.6759,,,,,,,,,,,,,,4.6938,,4.6759,
ARBAU GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,-0.01,-424.5987,-450.0045,449.9945,424.5887,25.4058,,,,,,,,,,,25.4058,,,424.5887,,,
ARBAU GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,5626.29,5595.7832,3945.316,1680.974,30.5068,1650.4672,1583.5056,,,,,,,,,,66.9616,,,30.5068,,,
ARBAU GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,-63.7154,-103.6179,103.6179,63.7154,39.9025,,,,,,,,11.6074,,,21.4104,,,63.7154,6.8847,,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,28366.08,24401.8458,5777.9938,22588.0862,3964.2342,18623.852,17485.2591,,,,,,,512.1803,,,,,,3964.2342,293.9776,332.435,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,0,0,-185.84,185.84,0,185.84,185.84,,,,,,,,,,,,,,,,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,0,-91.8695,91.8695,0,91.8695,,,,,,,,,,,,,,,,91.8695,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,0,-28.5639,28.5639,0,28.5639,,,,,,,,,,,,,,,28.5639,,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-2103.7499,-2103.7499,2103.7499,2103.7499,0,,,,,2103.7499,,,,,,,,,,,,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-5.4468,-253.8321,253.8321,5.4468,248.3853,,,,,,,,97.1776,151.2077,,,,,5.4468,,,
ARBAU GmbH,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,-0.04,-0.04,-0.04,0,0,0,,,,,,,,,,,,,,,,,
ARBAU GmbH,Mono,Earth,2023-Dec,SO00059,IRELAND,45,32986.04,32984.2415,19706.4915,13279.5485,1.7985,13277.75,10377.25,,,,,,2900.5,,,,,,,1.7985,,,
